,UNITID,INSTNM,CITY,STABBR,ZIP,ADM_RATE,UGDS,TUITIONFEE_IN,MN_EARN_WNE_P10
2948,210951,Career Training Academy-Lower Burrell,Lower Burrell,PA,15068,,130.0,,
2949,210960,The Art Institute of Pittsburgh,Pittsburgh,PA,15222,,431.0,17626.0,
2950,211006,Automotive Training Center-Exton,Exton,PA,19341-1310,,304.0,,
2951,211024,Clarks Summit University,South Abington Township,PA,18411-1250,0.5508,498.0,23890.0,
2952,211079,Community College of Beaver County,Monaca,PA,15061-2588,,1768.0,5880.0,
2953,211088,Arcadia University,Glenside,PA,19038-3295,0.6229,2233.0,42330.0,
2954,211130,Missio Theological Seminary,Philadelphia,PA,19123,,,,
2955,211149,Bidwell Training Center Inc,Pittsburgh,PA,15233,0.8529,141.0,,
2956,211158,Bloomsburg University of Pennsylvania,Bloomsburg,PA,17815,0.7325,8276.0,10500.0,
2957,211200,Bradford School,Pittsburgh,PA,15219,0.9054,352.0,15380.0,
2958,211273,Bryn Mawr College,Bryn Mawr,PA,19010,0.3801,1328.0,50500.0,
2959,211291,Bucknell University,Lewisburg,PA,17837,0.3108,3588.0,53986.0,
2960,211307,Bucks County Community College,Newtown,PA,18940-4106,,7257.0,4418.0,
2961,211316,Bucks County School of Beauty Culture Inc,Feasterville,PA,19053-7368,,72.0,,
2962,211334,Butler Beauty Academy,Butler,PA,16001,,20.0,,
2963,211343,Butler County Community College,Butler,PA,16002,,2803.0,4800.0,
2964,211352,Cabrini University,Radnor,PA,19087-3698,0.7321,1536.0,31350.0,
2965,211361,California University of Pennsylvania,California,PA,15419-1394,0.961,5435.0,10840.0,
2966,211431,Carlow University,Pittsburgh,PA,15213-3165,0.9164,1339.0,28596.0,
2967,211440,Carnegie Mellon University,Pittsburgh,PA,15213-3890,0.222,6434.0,53910.0,
2968,211468,Cedar Crest College,Allentown,PA,18104-6196,0.6333,1413.0,38092.0,
2969,211477,Central Penn College,Summerdale,PA,17093-0309,0.789,1188.0,18174.0,
2970,211556,Chatham University,Pittsburgh,PA,15232,0.5455,981.0,36510.0,
2971,211583,Chestnut Hill College,Philadelphia,PA,19118-2693,0.9572,1317.0,35180.0,
2972,211608,Cheyney University of Pennsylvania,Cheyney,PA,19319-0200,,722.0,12104.0,
2973,211617,Brightwood Career Institute-Philadelphia Mills,Philadelphia,PA,19154,,586.0,,
2974,211635,Citizens School of Nursing,Tarentum,PA,15084,0.0,158.0,,
2975,211644,Clarion University of Pennsylvania,Clarion,PA,16214,0.9549,4214.0,10890.0,
2976,211802,DLP Conemaugh Memorial Medical Center,Johnstown,PA,15905-4398,0.8913,228.0,,
2977,211820,Consolidated School of Business-York,York,PA,17404,,114.0,,
2978,211893,Curtis Institute of Music,Philadelphia,PA,19103,0.033,131.0,2675.0,
2979,211909,Dean Institute of Technology,Pittsburgh,PA,15226-1197,,151.0,14550.0,
2980,211927,Delaware County Community College,Media,PA,19063-1094,,11030.0,5291.0,
2981,211981,Delaware Valley University,Doylestown,PA,18901-2697,0.664,1908.0,38000.0,
2982,212009,Dickinson College,Carlisle,PA,17013-2896,0.4871,2339.0,52955.0,
2983,212018,Pennsylvania State University-Dickinson Law,Carlisle,PA,17013-2861,,,,
2984,212045,Douglas Education Center,Monessen,PA,15062,,229.0,16029.0,
2985,212054,Drexel University,Philadelphia,PA,19104,0.7904,15335.0,52002.0,
2986,212106,Duquesne University,Pittsburgh,PA,15282,0.7170000000000001,5930.0,36394.0,
2987,212115,East Stroudsburg University of Pennsylvania,East Stroudsburg,PA,18301-2999,0.8356,5972.0,10098.0,
2988,212133,Eastern University,Saint Davids,PA,19087-3696,0.6561,1837.0,32145.0,
2989,212160,Edinboro University of Pennsylvania,Edinboro,PA,16444-0001,0.9253,4229.0,10282.0,
2990,212197,Elizabethtown College,Elizabethtown,PA,17022-2298,0.7402,1647.0,45350.0,
2991,212230,Empire Beauty School-Lebanon,Lebanon,PA,17042,,41.0,,
2992,212267,Empire Beauty School-York,York,PA,17402,,84.0,,
2993,212276,Empire Beauty School-Lancaster,Lancaster,PA,17603,,78.0,,
2994,212294,Empire Beauty School-Shamokin Dam,Shamokin Dam,PA,17876,,46.0,,
2995,212300,Empire Beauty School-Pottsville,Pottsville,PA,17901,,52.0,,
2996,212328,Empire Beauty  School-Lehigh Valley,Whitehall,PA,18052,,103.0,,
2998,212355,Empire Beauty School-Wyoming Valley,Moosic,PA,18507,,141.0,,
2999,212373,Empire Beauty School-Warminster,Warminster,PA,18974,,28.0,,
3000,212382,Empire Beauty School-Harrisburg,Harrisburg,PA,17109,,123.0,,
3001,212391,Empire Beauty School-Reading,Reading,PA,19605,,119.0,,
3002,212434,Erie Institute of Technology Inc,Erie,PA,16565,,295.0,13770.0,
3003,212443,Evangelical Theological Seminary,Myerstown,PA,17067-1222,,,,
3004,212452,Faith Theological Seminary,Baltimore,MD,21212-2624,1.0,66.0,5870.0,
3005,212568,Aria Health School of Nursing,Trevose,PA,19053-6939,,200.0,18585.0,
3006,212577,Franklin and Marshall College,Lancaster,PA,17604-3003,0.3411,2269.0,54380.0,
3007,212601,Gannon University,Erie,PA,16541-0001,0.799,2616.0,30932.0,
3008,212656,Geneva College,Beaver Falls,PA,15010-3599,0.6901,1330.0,26070.0,
3009,212674,Gettysburg College,Gettysburg,PA,17325,0.45799999999999996,2411.0,52640.0,
3010,212753,Empire Beauty School-NE Philadelphia,Philadelphia,PA,19154,,144.0,,
3011,212771,Gratz College,Melrose Park,PA,19027-3010,,47.0,,
3012,212805,Grove City College,Grove City,PA,16127-2104,0.7987,2327.0,17254.0,
3013,212832,Gwynedd Mercy University,Gwynedd Valley,PA,19437-0901,0.9377,1987.0,33600.0,
3014,212869,Harcum College,Bryn Mawr,PA,19010-3470,,1436.0,23670.0,
3015,212878,Harrisburg Area Community College,Harrisburg,PA,17110-2999,,15968.0,6473.0,
3016,212911,Haverford College,Haverford,PA,19041-1392,0.2005,1291.0,52994.0,
3017,212975,Commonwealth Technical Institute,Johnstown,PA,15905-3092,,183.0,16836.0,
3018,212984,Holy Family University,Philadelphia,PA,19114-2009,0.7075,1904.0,30346.0,
3019,212993,Hussian College School of Art,Philadelphia,PA,19130,0.6939,52.0,19650.0,
3020,213002,Brightwood Career Institute-Pittsburgh,Pittsburgh,PA,15222,,250.0,,
3021,213011,Immaculata University,Immaculata,PA,19345,0.8294,1383.0,27350.0,
3022,213020,Indiana University of Pennsylvania-Main Campus,Indiana,PA,15705-1098,0.9082,9965.0,12119.0,
3023,213163,UPMC Jameson School of Nursing,New Castle,PA,16105,,46.0,10781.0,
3024,213181,Great Lakes Institute of Technology,Erie,PA,16509-2482,0.7593,396.0,,
3025,213215,Jolie Hair and Beauty Academy-Wilkes-Barre,Wilkes Barre,PA,18702,,169.0,,
3026,213233,Johnson College,Scranton,PA,18508-1495,0.9644,446.0,18567.0,
3027,213251,Juniata College,Huntingdon,PA,16652-2196,0.7077,1371.0,43875.0,
3028,213303,Keystone College,La Plume,PA,18440-0200,0.9440000000000001,1274.0,26670.0,
3029,213321,King's College,Wilkes-Barre,PA,18711-0801,0.7092,2065.0,35830.0,
3030,213330,Butler Beauty Academy-Kittanning Beauty Academy,Kittanning,PA,16201,,8.0,,
3031,213349,Kutztown University of Pennsylvania,Kutztown,PA,19530-0730,0.8314,7443.0,9987.0,
3032,213358,La Roche University,Pittsburgh,PA,15237-5898,0.9657,1312.0,27720.0,
3033,213367,La Salle University,Philadelphia,PA,19141-1199,0.7927,3708.0,29500.0,
3034,213376,Lackawanna College,Scranton,PA,18509-3206,,1506.0,15160.0,
3035,213385,Lafayette College,Easton,PA,18042-1768,0.3081,2567.0,51600.0,
3036,213400,Lancaster Bible College,Lancaster,PA,17601-5036,0.7181,1504.0,22580.0,
3037,213446,Lancaster Theological Seminary,Lancaster,PA,17603-2897,,,,
3038,213455,Lancaster School of Cosmetology & Therapeutic Bodywork,Lancaster,PA,17602,,185.0,,
3039,213473,Lansdale School of Business,North Wales,PA,19454-4114,,163.0,10800.0,
3040,213491,Lansdale School of Cosmetology Inc,Lansdale,PA,19446-2003,,53.0,,
3041,213507,Lebanon Valley College,Annville,PA,17003-1400,0.73,1658.0,42180.0,
3042,213525,Lehigh Carbon Community College,Schnecksville,PA,18078-2598,,5588.0,3990.0,
3043,213534,Platt College-Berks Technical Institute,Wyomissing,PA,19610-1168,,724.0,11260.0,
3044,213543,Lehigh University,Bethlehem,PA,18015,0.2515,5057.0,50740.0,
3045,213552,Levittown Beauty Academy,Levittown,PA,19054,,91.0,,
3046,213570,Lincoln Technical Institute-Allentown,Allentown,PA,18104-9889,,444.0,,
3047,213589,Lincoln Technical Institute-Philadelphia,Philadelphia,PA,19136,,246.0,,
3048,213598,Lincoln University,Lincoln University,PA,19352-0999,0.7968,1994.0,11379.0,
3049,213613,Lock Haven University,Lock Haven,PA,17745-2390,0.8904,3425.0,10576.0,
3050,213622,St Margaret School of Nursing,Pittsburgh,PA,15238-3250,0.5714,92.0,15315.0,
3051,213631,United Lutheran Seminary,Gettysburg,PA,17325-1795,,,,
3052,213659,Luzerne County Community College,Nanticoke,PA,18634-3899,,4758.0,5160.0,
3053,213668,Lycoming College,Williamsport,PA,17701-5192,0.6403,1192.0,38618.0,
3054,213774,Manor College,Jenkintown,PA,19046-3399,0.9255,602.0,17029.0,
3055,213783,Mansfield University of Pennsylvania,Mansfield,PA,16933,0.8919,1770.0,12316.0,
3056,213826,Marywood University,Scranton,PA,18509-1598,0.7512,1835.0,33940.0,
3057,213871,McCann School of Business & Technology,Hazle Township,PA,18202,,168.0,11292.0,
3058,213914,Vet Tech Institute,Pittsburgh,PA,15222-3400,,343.0,14980.0,
3059,213932,Roxborough Memorial Hospital School of Nursing,Philadelphia,PA,19128,,142.0,,
3060,213987,Mercyhurst University,Erie,PA,16546,0.6992,2448.0,36320.0,
3061,213996,Messiah College,Mechanicsburg,PA,17055,0.7701,2670.0,34160.0,
3062,214023,The Workforce Institute's City College,Philadelphia,PA,19140-2302,1.0,21.0,12097.0,
3063,214041,Millersville University of Pennsylvania,Millersville,PA,17551-0302,0.7949,6613.0,11858.0,
3064,214069,Misericordia University,Dallas,PA,18612-1098,0.7879,2100.0,31660.0,
3065,214111,Montgomery County Community College,Blue Bell,PA,19422-0796,,8948.0,5730.0,
3066,214148,Moore College of Art and Design,Philadelphia,PA,19103-1179,0.5407,373.0,39833.0,
3067,214157,Moravian College,Bethlehem,PA,18018-6650,0.7597,2007.0,42024.0,
3068,214166,Mount Aloysius College,Cresson,PA,16630-1999,0.9107,1185.0,22430.0,
3069,214175,Muhlenberg College,Allentown,PA,18104,0.4836,2329.0,50830.0,
3070,214254,Brightwood Career Institute-Philadelphia,Philadelphia,PA,19104,,421.0,,
3071,214272,Neumann University,Aston,PA,19014-1298,0.9628,1997.0,30050.0,
3072,214290,New Castle School of Trades,New Castle,PA,16101,1.0,763.0,,
3073,214379,Northampton County Area Community College,Bethlehem,PA,18020-7599,,9203.0,4230.0,
3074,214476,Ohio Valley Hospital School of Nursing,McKees Rocks,PA,15136,0.8,76.0,16300.0,
3075,214528,Orleans Technical College,Philadelphia,PA,19114-1014,0.5728,289.0,,
3076,214564,Salus University,Elkins Park,PA,19027-6262,,,,
3077,214582,Pennsylvania Institute of Technology,Media,PA,19063-4098,,447.0,13230.0,
3078,214591,Pennsylvania State University-Penn State Erie-Behrend College,Erie,PA,16563-0001,0.8891,4283.0,15190.0,
3079,214607,Pennsylvania State University-Penn State Great Valley,Malvern,PA,19355-1488,,,,
3080,214616,Pennsylvania State University-College of Medicine,Hershey,PA,17033-2360,,,,
3081,214625,Pennsylvania State University-Penn State New Kensington,New Kensington,PA,15068-1765,0.7676,573.0,13694.0,
3082,214634,Pennsylvania State University-Penn State Shenango,Sharon,PA,16146-1537,0.7428,345.0,13324.0,
3083,214643,Pennsylvania State University-Penn State Wilkes-Barre,Lehman,PA,18627-0217,0.8245,404.0,13568.0,
3084,214652,Pennsylvania State University-Penn State Scranton,Dunmore,PA,18512-1602,0.7792,1003.0,14460.0,
3085,214670,Pennsylvania State University-Penn State Lehigh Valley,Center Valley,PA,18034-8447,0.8534,823.0,14460.0,
3086,214689,Pennsylvania State University-Penn State Altoona,Altoona,PA,16601-3777,0.9225,3451.0,15190.0,
3087,214698,Pennsylvania State University-Penn State Beaver,Monaca,PA,15061-2764,0.8131,598.0,13694.0,
3088,214704,Pennsylvania State University-Penn State Berks,Reading,PA,19610-1016,0.857,2635.0,15190.0,
3089,214713,Pennsylvania State University-Penn State Harrisburg,Middletown,PA,17057-4846,0.8375,4223.0,15190.0,
3090,214731,Pennsylvania State University-Penn State Brandywine,Media,PA,19063-5522,0.8703,1366.0,14460.0,
3091,214740,Pennsylvania State University-Penn State DuBois,DuBois,PA,15801-2549,0.8387,497.0,13632.0,
3092,214759,Pennsylvania State University-Penn State Fayette- Eberly,Lemont Furnace,PA,15456-1025,0.8214,649.0,13632.0,
3093,214768,Pennsylvania State University-Penn State Hazleton,Hazleton,PA,18202-8025,0.9352,699.0,14460.0,
3094,214777,Pennsylvania State University-Main Campus,University Park,PA,16802-1503,0.5031,40553.0,18436.0,
3095,214786,Pennsylvania State University-Penn State Greater Allegheny,McKeesport,PA,15132-7644,0.8187,488.0,13694.0,
3096,214795,Pennsylvania State University-Penn State Mont Alto,Mont Alto,PA,17237-9700,0.7476,759.0,13694.0,
3097,214801,Pennsylvania State University-Penn State Abington,Abington,PA,19001-3918,0.8523,3674.0,14516.0,
3098,214810,Pennsylvania State University-Penn State Schuylkill,Schuylkill Haven,PA,17972-2202,0.7555,695.0,14398.0,
3099,214829,Pennsylvania State University-Penn State York,York,PA,17403-3326,0.825,899.0,14460.0,
3100,214883,Peirce College,Philadelphia,PA,19102-4699,,1381.0,15060.0,
3101,214892,Penn Commercial Business/Technical School,Washington,PA,15301-6822,0.9539,225.0,20000.0,
3102,214944,Pennco Tech-Bristol,Bristol,PA,19007,,315.0,,
3103,214971,Pennsylvania Academy of the Fine Arts,Philadelphia,PA,19102-1510,0.927,188.0,37096.0,
3104,215008,Pennsylvania Gunsmith School,Pittsburgh,PA,15202-2637,,79.0,,
3105,215044,Cortiva Institute-King of Prussia,King of Prussia,PA,19406,,172.0,,
3106,215053,Pennsylvania College of Art and Design,Lancaster,PA,17608-0059,0.5,257.0,25000.0,
3107,215062,University of Pennsylvania,Philadelphia,PA,19104-6303,0.09300000000000001,10660.0,53534.0,
3108,215099,Jefferson (Philadelphia University + Thomas Jefferson University),Philadelphia,PA,19144-5497,0.5966,2669.0,39280.0,
3109,215105,The University of the Arts,Philadelphia,PA,19102-4901,0.7404,1662.0,43100.0,
3110,215114,Cairn University-Langhorne,Langhorne,PA,19047-2990,0.9855,757.0,26493.0,
3111,215123,Philadelphia College of Osteopathic Medicine,Philadelphia,PA,19131,,,,
3112,215132,University of the Sciences,Philadelphia,PA,19104-4495,0.6076,1268.0,39994.0,
3113,215239,Community College of Philadelphia,Philadelphia,PA,19130-3991,,16012.0,5142.0,
3114,215266,University of Pittsburgh-Bradford,Bradford,PA,16701,0.5436,1296.0,13900.0,
3115,215275,University of Pittsburgh-Greensburg,Greensburg,PA,15601-5860,0.7327,1521.0,13870.0,
3116,215284,University of Pittsburgh-Johnstown,Johnstown,PA,15904,0.7598,2776.0,13876.0,
3117,215293,University of Pittsburgh-Pittsburgh Campus,Pittsburgh,PA,15260,0.5971,19134.0,19080.0,
3118,215309,University of Pittsburgh-Titusville,Titusville,PA,16354,0.6311,292.0,11788.0,
3119,215336,Beaver Falls Beauty Academy,Beaver Falls,PA,15010-4208,,36.0,,
3120,215381,Pittsburgh Institute of Aeronautics,West Mifflin,PA,15122,,409.0,20945.0,
3121,215390,Pittsburgh Institute of Mortuary Science Inc,Pittsburgh,PA,15206-3706,0.8058,209.0,,
3122,215415,Pittsburgh Technical College,Oakdale,PA,15071,,1739.0,16817.0,
3123,215424,Pittsburgh Theological Seminary,Pittsburgh,PA,15206-2596,,,,
3124,215442,Point Park University,Pittsburgh,PA,15222-1984,0.6486,3230.0,30130.0,
3125,215479,Joseph F McCloskey School of Nursing,Pottsville,PA,17901,,63.0,,
3126,215530,The Salon Professional Academy-Altoona,Altoona,PA,16601-2419,,69.0,,
3127,215585,Reading Area Community College,Reading,PA,19602,,3506.0,5460.0,
3128,215594,Reading Hospital School of Health Sciences,Reading,PA,19611,0.2679,288.0,10095.0,
3129,215619,Reconstructionist Rabbinical College,Wyncote,PA,19095-1898,,,,
3130,215628,Reformed Presbyterian Theological Seminary,Pittsburgh,PA,15208-2594,,,,
3131,215637,The Restaurant School at Walnut Hill College,Philadelphia,PA,19104,0.9737,334.0,23550.0,
3132,215646,Brightwood Career Institute-Broomall,Broomall,PA,19008,,339.0,,
3133,215655,Robert Morris University,Moon Township,PA,15108-1189,0.8332,4213.0,29420.0,
3134,215682,Rosedale Technical College,Pittsburgh,PA,15205-9791,,372.0,13380.0,
3135,215691,Rosemont College,Rosemont,PA,19010-1699,0.6961,609.0,19486.0,
3136,215743,Saint Francis University,Loretto,PA,15940,0.7574,1676.0,35066.0,
3137,215770,Saint Joseph's University,Philadelphia,PA,19131-1395,0.7718,5040.0,43880.0,
3138,215798,Saint Vincent College,Latrobe,PA,15650-2690,0.6193,1616.0,34430.0,
3139,215813,Saint Vincent Seminary,Latrobe,PA,15650-2690,,,,
3140,215886,Schuylkill Technology Center,Frackville,PA,17931,,35.0,,
3141,215929,University of Scranton,Scranton,PA,18510-4699,0.7479,3695.0,43310.0,
3142,215947,Seton Hill University,Greensburg,PA,15601,0.7465,1659.0,34660.0,
3143,215974,University of Pittsburgh Medical Center-Shadyside School of Nursing,Pittsburgh,PA,15232,1.0,244.0,15315.0,
3144,215983,Sharon Regional School of Nursing,Sharon,PA,16146,,12.0,24745.0,
3145,215992,Laurel Technical Institute,Sharon,PA,16146,0.8776,176.0,9914.0,
3146,216010,Shippensburg University of Pennsylvania,Shippensburg,PA,17257-2299,0.8355,5464.0,12086.0,
3147,216038,Slippery Rock University of Pennsylvania,Slippery Rock,PA,16057-1383,0.7149,7539.0,10205.0,
3148,216047,Saint Charles Borromeo Seminary-Overbrook,Wynnewood,PA,19096,1.0,75.0,20655.0,
3149,216074,South Hills Beauty Academy,Pittsburgh,PA,15216,,144.0,,
3150,216083,South Hills School of Business & Technology,State College,PA,16801-4516,0.9931,414.0,16608.0,
3151,216162,St Lukes Hospital School of Nursing,Bethlehem,PA,18015,,198.0,,
3152,216223,The Beauty Institute,Stroudsburg,PA,18360-1720,,27.0,,
3153,216278,Susquehanna University,Selinsgrove,PA,17870-1025,0.6953,2283.0,45470.0,
3154,216287,Swarthmore College,Swarthmore,PA,19081,0.107,1565.0,50822.0,
3155,216296,Thaddeus Stevens College of Technology,Lancaster,PA,17602-3198,0.8893,1139.0,7830.0,
3156,216311,Talmudical Yeshiva of Philadelphia,Philadelphia,PA,19131,0.8444,114.0,8900.0,
3157,216339,Temple University,Philadelphia,PA,19122-6096,0.5667,29007.0,16658.0,
3158,216348,Theological Seminary of the Reformed Episcopal Church,Blue Bell,PA,19422-1257,,,,
3159,216357,Thiel College,Greenville,PA,16125-2181,0.6287,736.0,30830.0,
3160,216366,Thomas Jefferson University,Philadelphia,PA,19107,,731.0,,
3161,216418,Fortis Institute-Erie,Erie,PA,16506-1013,,391.0,13157.0,
3162,216427,Triangle Tech Inc-Erie,Erie,PA,16502-2594,,61.0,16408.0,
3163,216436,Triangle Tech Inc-Pittsburgh,Pittsburgh,PA,15214-3897,,144.0,16640.0,
3164,216445,Triangle Tech Inc-Greensburg,Greensburg,PA,15601-3304,,121.0,16594.0,
3165,216454,Triangle Tech Inc-Dubois,Falls Creek,PA,15840-3333,,143.0,16646.0,
